Standard2,concentration2,Standard3,concentration3
1,150,1,150
2,75,2,50
3,37.5,3,16.66666667
4,18.75,4,5.555555556
5,9.375,5,1.851851852
6,4.6875,6,0.617283951
7,2.34375,7,0.205761317
8,1.171875,8,0.068587106
9,0.5859375,9,0.022862369
10,0.29296875,10,0.00762079
11,0.146484375,11,0.002540263
12,0.073242188,12,0.000846754
13,0.036621094,13,0.000282251
14,0.018310547,14,9.40838E-05
15,0.009155273,15,3.13613E-05
16,0.004577637,16,1.04538E-05
17,0.002288818,,
18,0.001144409,,
19,0.000572205,,
20,0.000286102,,
21,0.000143051,,
22,7.15256E-05,,
23,3.57628E-05,,
24,1.78814E-05,,